route_id,agency_id,route_short_name,route_long_name,route_type
1.15207.AF,1,1,,3
1.15208.SA,1,1,,3
1.15306.RY,1,1,,3
1.16101.ST,1,1, ,3
1.16201.ST,1,1,,3
11.16101.ST,1,11,,3
11.16201.ST,1,11,,3
12.16101.ST,1,12, ,3
12.16201.ST,1,12,,3
13.16101.ST,1,13, ,3
13.16201.ST,1,13,,3
14.16101.ST,1,14, ,3
14.16201.ST,1,14,,3
15.16101.ST,1,15, ,3
15.16201.ST,1,15,,3
16.16101.ST,1,16,,3
16.16201.ST,1,16,,3
17.16101.ST,1,17,,3
17.16201.ST,1,17,,3
18.16101.ST,1,18,,3
18.16201.ST,1,18,,3
2.15207.AF,1,2,,3
2.15208.SA,1,2,,3
2.15306.RY,1,2,,3
2.16101.ST,1,2, ,3
2.16201.ST,1,2,,3
21.16101.ST,1,21,,3
21.16201.ST,1,21,,3
22.16101.ST,1,22,,3
22.16201.ST,1,22,,3
23.16101.ST,1,23,,3
23.16201.ST,1,23,,3
24.16101.ST,1,24,,3
24.16201.ST,1,24,,3
26.16101.ST,1,26,,3
26.16201.ST,1,26,,3
27.16101.ST,1,27,,3
27.16201.ST,1,27,,3
28.16101.ST,1,28,,3
28.16201.ST,1,28,,3
29.16101.ST,1,29,,3
3.15207.AF,1,3,,3
3.15208.SA,1,3,,3
3.15306.RY,1,3,,3
3.16101.ST,1,3, ,3
3.16201.ST,1,3,,3
31.16101.ST,1,31,,3
31.16201.ST,1,31,,3
33.16101.ST,1,33,,3
33.16201.ST,1,33,,3
34.16101.ST,1,34,,3
34.16201.ST,1,34,,3
35.16101.ST,1,35,,3
35.16201.ST,1,35,,3
4.15207.AF,1,4,,3
4.15208.SA,1,4,,3
4.15306.RY,1,4,,3
4.16101.ST,1,4, ,3
4.16201.ST,1,4,,3
43.16101.ST,1,43,,3
43.16201.ST,1,43,,3
44.16101.ST,1,44,,3
44.16201.ST,1,44,,3
5.15207.AF,1,5,,3
5.16101.ST,1,5, ,3
5.16201.ST,1,5,,3
51.16102.SU,1,51,,3
52.16102.SU,1,52,,3
53.16102.SU,1,53,,3
55.16104.SN,1,55,,3
55.16204.SN,1,55,,3
56.15205.NO,1,56,,3
57.16103.VL,1,57,,3
58.16103.VL,1,58,,3
59.16103.VL,1,59,,3
6.16101.ST,1,6, ,3
6.16201.ST,1,6,,3
72.16102.SU,1,72,,3
73.16102.SU,1,73,,3
74.16102.SU,1,74,,3
75.16102.SU,1,75,,3
76.16102.SU,1,76,,3
78.15205.NO,1,78,,3
79.15205.NO,1,79,,3
81.16103.VL,1,81,,3
82.16103.VL,1,82,,3
83.16103.VL,1,83,,3
84.16103.VL,1,84,,3
85.16103.VL,1,85,,3
87.16104.SN,1,87,,3
87.16204.SN,1,87,,3
88.16104.SN,1,88,,3
88.16204.SN,1,88,,3
89.16104.SN,1,89,,3
89.16204.SN,1,89,,3
