shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
11_16101_1_1,64.1099900001692,-21.8407300004188,2002
11_16101_1_1,64.1100000000569,-21.8415699997697,2001
11_16101_1_1,64.1100074248554,-21.8426317967574,2000
11_16101_1_1,64.1110899999846,-21.8406199999157,2003
11_16101_1_1,64.1118900001543,-21.8405799997327,2004
11_16101_1_1,64.1122900000408,-21.8405499995955,2005
11_16101_1_1,64.1124099999045,-21.8402399999741,2006
11_16101_1_1,64.1125499999407,-21.8403899997619,2007
11_16101_1_1,64.1127699999182,-21.8404299999449,2008
11_16101_1_1,64.113069999899,-21.8404299999449,2009
11_16101_1_1,64.1132900000764,-21.8404299999449,2010
11_16101_1_1,64.1134599998591,-21.8404199998991,2011
11_16101_1_1,64.1138400001599,-21.8404099998534,2012
11_16101_1_1,64.1141599998941,-21.8404099998534,2013
11_16101_1_1,64.1144900001012,-21.8406900002359,2014
11_16101_1_1,64.1150399999781,-21.8426100000353,2015
11_16101_1_1,64.1158399998424,-21.8434500002845,2016
11_16101_1_1,64.1171299999692,-21.8442300002592,2017
11_16101_1_1,64.1188899999467,-21.8456200003292,2018
11_16101_1_1,64.1201899998517,-21.8468799998046,2020
11_16101_1_1,64.1202100001294,-21.8476999999622,2021
11_16101_1_1,64.1202199998707,-21.8465600001375,2019
11_16101_1_1,64.1204560520077,-21.8549448696095,3000
11_16101_1_1,64.1204560520077,-21.8549448696095,2024
11_16101_1_1,64.1204700000775,-21.8537499997889,2023
11_16101_1_1,64.1204900001538,-21.8577500001197,3001
11_16101_1_1,64.120529999871,-21.8583800003065,3002
11_16101_1_1,64.120589999927,-21.8501799996284,2022
11_16101_1_1,64.1206499998535,-21.8595600003143,3003
11_16101_1_1,64.1207353571168,-21.8603526000592,4000
11_16101_1_1,64.1207353571168,-21.8603526000592,3004
11_16101_1_1,64.1207899999626,-21.8608599999727,4001
11_16101_1_1,64.1210999998793,-21.8634400000962,4002
11_16101_1_1,64.1212799998886,-21.8649599998626,4003
11_16101_1_1,64.1213463681333,-21.8655772233112,4004
11_16101_1_1,64.1213463681333,-21.8655772233112,5000
11_16101_1_1,64.1214800000565,-21.8668200002859,5001
11_16101_1_1,64.1216199999059,-21.8681500000815,5002
11_16101_1_1,64.1217800001585,-21.8696999999851,5003
11_16101_1_1,64.1220900000119,-21.8723599995763,5004
11_16101_1_1,64.1223800000583,-21.8747199995918,5005
11_16101_1_1,64.1225396458194,-21.8760804810216,6000
11_16101_1_1,64.1225396458194,-21.8760804810216,5006
