route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
1.15207.AF,20150901_------S_48,264715,,,0,1_15207_1_2
1.15207.AF,20150901_------S_48,264718, ,,1,1_15207_2_56
1.15207.AF,20150901_------S_48,264719, ,,1,1_15207_2_60
1.15207.AF,20150901_------S_48,264716,,,0,1_15207_1_16
1.15207.AF,20150901_------S_48,264717,,,0,1_15207_1_2
1.15207.AF,20150901_------S_48,264720, ,,1,1_15207_2_56
1.15207.AF,20150901_-----S-_47,264714, ,,1,1_15207_2_56
1.15207.AF,20150901_-----S-_47,264712, ,,1,1_15207_2_61
1.15207.AF,20150901_-----S-_47,264721, ,,1,1_15207_2_60
1.15207.AF,20150901_-----S-_47,264713, ,,1,1_15207_2_56
1.15207.AF,20150901_-----S-_47,264710,,,0,1_15207_1_16
1.15207.AF,20150901_-----S-_47,264708, ,,0,1_15207_1_13
1.15207.AF,20150901_-----S-_47,264711,,,0,1_15207_1_2
1.15207.AF,20150901_-----S-_47,264709,,,0,1_15207_1_2
1.15207.AF,20150901_MTWT---_40,264705, ,,1,1_15207_2_59
1.15207.AF,20150901_MTWT---_40,264699, ,,0,1_15207_1_8
1.15207.AF,20150901_MTWTF--_27,264701,,,0,1_15207_1_2
1.15207.AF,20150901_MTWTF--_27,264695,,,0,1_15207_1_2
1.15207.AF,20150901_MTWTF--_27,264760,,,1,1_15207_2_63
1.15207.AF,20150901_MTWTF--_27,264706, ,,1,1_15207_2_60
1.15207.AF,20150901_MTWTF--_27,264703, ,,1,1_15207_2_56
1.15207.AF,20150901_MTWTF--_27,264758,,,0,1_15207_1_15
1.15207.AF,20150901_MTWTF--_27,264757, ,,0,1_15207_1_14
1.15207.AF,20150901_MTWTF--_27,264707, ,,1,1_15207_2_53
1.15207.AF,20150901_MTWTF--_27,264759, ,,1,1_15207_2_62
1.15207.AF,20150901_MTWTF--_27,264697, ,,0,1_15207_1_4
1.15207.AF,20150901_MTWTF--_27,264698,,,0,1_15207_1_5
1.15207.AF,20150901_MTWTF--_27,264700, ,,0,1_15207_1_9
1.15207.AF,20150901_MTWTF--_27,264696, ,,0,1_15207_1_11
1.15207.AF,20150901_MTWTF--_27,264704, ,,1,1_15207_2_52
1.15207.AF,20150901_MTWTF--_27,264702, ,,1,1_15207_2_51
1.15208.SA,20150830_MTWTF--_41,264767, ,,1,1_15208_2_51
1.15208.SA,20150830_MTWTF--_41,264768, ,,1,1_15208_2_51
1.15208.SA,20150830_MTWTF--_41,264769, ,,1,1_15208_2_51
1.15208.SA,20150830_MTWTF--_41,264770, ,,1,1_15208_2_51
1.15208.SA,20150830_MTWTF--_41,264765, ,,0,1_15208_1_1
1.15208.SA,20150830_MTWTF--_41,264785, ,,0,1_15208_1_2
1.15208.SA,20150830_MTWTF--_41,264761, ,,0,1_15208_1_2
1.15208.SA,20150830_MTWTF--_41,264762, ,,0,1_15208_1_1
1.15208.SA,20150830_MTWTF--_41,264766, ,,1,1_15208_2_51
1.15208.SA,20150830_MTWTF--_41,264764, ,,0,1_15208_1_1
1.15208.SA,20150830_MTWTF--_41,264763, ,,0,1_15208_1_1
1.15208.SA,20150830_MTWTF--_42,264784, ,,1,1_15208_2_51
1.15208.SA,20150830_MTWTF--_42,264783, ,,1,1_15208_2_51
1.15208.SA,20150830_MTWTF--_42,264782, ,,1,1_15208_2_51
1.15208.SA,20150830_MTWTF--_42,264781, ,,1,1_15208_2_51
1.15208.SA,20150830_MTWTF--_42,264780, ,,1,1_15208_2_51
1.15208.SA,20150830_MTWTF--_42,264779, ,,1,1_15208_2_51
1.15208.SA,20150830_MTWTF--_42,264778, ,,1,1_15208_2_51
1.15208.SA,20150830_MTWTF--_42,264776, ,,0,1_15208_1_1
1.15208.SA,20150830_MTWTF--_42,264777, ,,0,1_15208_1_1
1.15208.SA,20150830_MTWTF--_42,264775, ,,0,1_15208_1_1
1.15208.SA,20150830_MTWTF--_42,264774, ,,0,1_15208_1_1
1.15208.SA,20150830_MTWTF--_42,264773, ,,0,1_15208_1_1
1.15208.SA,20150830_MTWTF--_42,264772, ,,0,1_15208_1_1
1.15208.SA,20150830_MTWTF--_42,264771, ,,0,1_15208_1_1
1.15306.RY,20150816_-----S-_29,264599, ,,0,1_15306_1_1
1.15306.RY,20150816_-----S-_29,264600, ,,0,1_15306_1_1
1.15306.RY,20150816_-----S-_29,264601, ,,0,1_15306_1_1
1.15306.RY,20150816_-----S-_29,264602, ,,0,1_15306_1_1
1.15306.RY,20150816_-----S-_29,264603, ,,0,1_15306_1_1
1.15306.RY,20150816_-----S-_29,264604, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264583, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264584, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264585, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264586, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264587, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264588, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264589, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264590, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264591, ,,0,1_15306_1_2
1.15306.RY,20150816_MTWTF--_28,264592, ,,0,1_15306_1_2
1.15306.RY,20150816_MTWTF--_28,264593, ,,0,1_15306_1_2
1.15306.RY,20150816_MTWTF--_28,264594, ,,0,1_15306_1_2
1.15306.RY,20150816_MTWTF--_28,264595, ,,0,1_15306_1_2
1.15306.RY,20150816_MTWTF--_28,264596, ,,0,1_15306_1_2
1.15306.RY,20150816_MTWTF--_28,264597, ,,0,1_15306_1_2
1.15306.RY,20150816_MTWTF--_28,264598, ,,0,1_15306_1_2
1.15306.RY,20150816_MTWTF--_28,264575, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264576, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264577, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264578, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264579, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264580, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264581, ,,0,1_15306_1_1
1.15306.RY,20150816_MTWTF--_28,264582, ,,0,1_15306_1_1
1.16101.ST,20160103_------S_23,268971, ,,0,1_16101_1_4
1.16101.ST,20160103_------S_23,269116, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,268969, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,268983, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,268984, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,268985, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,268986, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269032, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269033, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269034, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269035, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269036, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269037, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269038, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269039, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269040, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269041, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269042, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269043, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269044, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269045, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269046, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269047, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269048, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269049, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269050, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269051, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269052, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269053, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269054, ,,0,1_16101_1_2
1.16101.ST,20160103_------S_23,269209, ,,1,1_16101_2_54
1.16101.ST,20160103_------S_23,269094, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269095, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269096, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269097, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269098, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269099, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269100, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269101, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269102, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269103, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269204, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269205, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269210, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269211, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269212, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269213, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269104, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269105, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269106, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269107, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269108, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269109, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269110, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269111, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269112, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269113, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269114, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,269115, ,,1,1_16101_2_52
1.16101.ST,20160103_------S_23,268968, ,,0,1_16101_1_2
1.16101.ST,20160103_-----S-_30,269085, ,,0,1_16101_1_2
1.16101.ST,20160103_-----S-_30,269077, ,,0,1_16101_1_4
1.16101.ST,20160103_-----S-_30,269089, ,,1,1_16101_2_51
1.16101.ST,20160103_-----S-_30,269144, ,,1,1_16101_2_51
1.16101.ST,20160103_-----S-_30,269145, ,,1,1_16101_2_51
1.16101.ST,20160103_-----S-_30,269146, ,,1,1_16101_2_51
1.16101.ST,20160103_-----S-_30,269147, ,,1,1_16101_2_51
1.16101.ST,20160103_-----S-_30,269148, ,,1,1_16101_2_51
1.16101.ST,20160103_-----S-_30,269149, ,,1,1_16101_2_51
1.16101.ST,20160103_-----S-_30,269019, ,,0,1_16101_1_1
1.16101.ST,20160103_-----S-_30,269020, ,,0,1_16101_1_1
1.16101.ST,20160103_-----S-_30,269021, ,,0,1_16101_1_1
1.16101.ST,20160103_-----S-_30,269022, ,,0,1_16101_1_1
1.16101.ST,20160103_-----S-_30,269023, ,,0,1_16101_1_1
1.16101.ST,20160103_-----S-_30,269024, ,,0,1_16101_1_1
